Image,bonnet_tip_x,bonnet_tip_y,blowhead_x,blowhead_y
w_1947.jpg,120.049095,186.61253,137.32523,163.15091
w_11096.jpg,97.22495,117.48172,108.03138,122.03638
w_10973.jpg,120.283424,108.09172,129.42366,113.681885
w_10442.jpg,134.18822,116.21073,140.34818,81.46511
w_10606.jpg,125.00616,142.64398,136.54291,153.3679
w_11167.jpg,71.74973,79.59754,78.50066,76.52106
w_1464.jpg,150.64822,123.813034,149.55322,138.27586
w_5072.jpg,138.42627,140.57469,139.48283,134.25775
w_5492.jpg,184.87367,138.62949,177.65585,142.38002
w_10124.jpg,150.76813,156.78627,150.7692,136.78949
w_9503.jpg,80.79698,177.43692,107.009186,178.42393
w_11267.jpg,95.92578,101.22168,100.19138,100.04075
w_1590.jpg,117.02674,140.88095,138.4129,155.40117
w_10175.jpg,116.20172,135.8173,125.52594,133.1204
w_10222.jpg,63.380917,153.81744,75.63282,164.0409
w_6578.jpg,159.54065,151.60208,152.93953,135.30698
w_2830.jpg,118.30026,127.222595,129.25674,124.26625
w_7398.jpg,30.333311,47.825016,38.972244,46.547894
w_1219.jpg,148.30086,140.4024,144.38054,122.69364
w_10546.jpg,128.83324,148.08289,139.35542,143.37445
w_2248.jpg,136.13116,179.86713,141.4163,149.64304
w_3481.jpg,134.89905,160.03735,148.29344,158.96431
w_2920.jpg,133.17667,150.75366,147.74614,144.91562
w_5567.jpg,125.03259,109.936035,122.39634,94.98893
w_7309.jpg,113.69254,140.8642,126.18314,147.2976
w_207.jpg,151.869,164.21777,149.6629,150.68706
w_4812.jpg,122.2628,114.85935,122.41068,125.22648
w_2611.jpg,118.03908,159.6177,119.936134,171.4171
w_11172.jpg,145.9113,109.58411,142.69328,121.25848
w_6686.jpg,74.28399,84.553665,74.53298,87.94105
w_10922.jpg,109.617195,120.12738,106.63823,117.0253
w_6470.jpg,104.90096,113.76396,114.147064,107.184814
w_5570.jpg,128.36296,129.32803,132.19516,137.23218
w_6221.jpg,110.70768,109.89732,114.811195,104.74314
w_2679.jpg,115.34898,131.11966,123.32206,132.81345
w_665.jpg,121.45711,132.25592,119.881516,121.54066
w_3575.jpg,133.13942,140.59166,135.3121,140.79926
w_3900.jpg,137.48363,107.62775,144.7785,121.17823
w_4372.jpg,90.16954,95.05054,89.93031,94.231606
w_8286.jpg,136.65045,143.19736,140.88115,138.3389
w_4640.jpg,126.55944,122.48187,136.76254,117.74685
w_2691.jpg,121.57211,123.526794,122.77212,117.50478
w_4796.jpg,78.3263,153.8262,96.82749,144.60245
w_8366.jpg,129.98666,123.50133,132.35748,116.212425
w_3633.jpg,75.19231,89.03508,80.91745,94.793655
w_6364.jpg,90.829,182.44891,131.1021,182.83205
w_9746.jpg,138.29341,130.05246,138.20848,124.17325
w_11231.jpg,134.75002,134.58057,137.2862,137.22064
w_10111.jpg,127.54424,161.21451,139.4677,156.77614
w_3469.jpg,69.45177,138.03932,99.35059,135.64955
w_10953.jpg,102.5011,174.98396,119.41236,169.51901
w_5010.jpg,128.71216,106.19444,139.49419,114.84812
w_10737.jpg,112.23686,143.04306,130.84914,137.13084
w_4462.jpg,130.22948,144.72601,134.75815,141.90468
w_8091.jpg,122.2736,143.81262,134.01263,129.05974
w_6738.jpg,146.77693,131.4585,139.22623,127.77621
w_8507.jpg,107.91824,126.477356,117.51386,115.48348
w_7370.jpg,136.19423,122.62215,128.9172,128.12186
w_9525.jpg,138.59116,138.77014,153.16876,131.98245
w_2361.jpg,111.70552,135.2439,117.51456,148.99231
w_1722.jpg,146.71045,175.20584,154.38342,150.0307
w_11333.jpg,69.13323,111.00467,93.04215,105.65455
w_6229.jpg,199.55484,178.9394,188.22943,171.13371
w_8579.jpg,148.9173,128.25067,138.50636,146.68057
w_6567.jpg,127.9427,80.75807,119.680336,95.36559
w_10091.jpg,103.06908,90.53912,93.68028,92.77839
w_11191.jpg,222.81721,161.59102,230.45976,148.04123
w_2725.jpg,110.662,123.77964,123.11385,133.88681
w_9269.jpg,117.80558,149.7814,120.95964,146.15799
w_2164.jpg,111.75141,123.07837,119.28455,120.04214
w_2294.jpg,125.21719,139.83646,129.26564,131.91846
w_1677.jpg,150.16809,162.01172,158.84866,155.69669
w_6231.jpg,150.0688,105.04379,142.04382,148.40622
w_10069.jpg,120.10439,126.01698,126.2741,122.193565
w_9270.jpg,128.90767,170.0821,138.05118,148.42581
w_9663.jpg,100.12494,88.798096,94.99207,89.03131
w_7648.jpg,118.386055,139.2493,117.62152,133.26987
w_9961.jpg,117.80453,90.9743,108.967735,88.7218
w_3475.jpg,152.21222,167.44165,148.30873,149.99216
w_3892.jpg,148.64648,158.10043,151.00406,146.07846
w_6051.jpg,124.3144,136.41452,131.64444,126.343475
w_9980.jpg,120.33424,119.80832,115.92417,115.2256
w_11106.jpg,91.37744,117.866135,100.179535,122.2415
w_6844.jpg,114.92392,165.6513,124.83286,129.72249
w_7170.jpg,138.47394,128.3928,143.46854,137.70229
w_2052.jpg,136.72078,150.19264,139.03725,132.63191
w_627.jpg,158.14537,146.86813,135.71452,136.71086
w_1347.jpg,101.83128,133.10182,95.23173,131.7009
w_4602.jpg,112.61757,125.67476,120.98466,151.94989
w_7213.jpg,106.017265,115.68121,96.20148,110.56037
w_9335.jpg,113.128395,80.190735,115.77662,88.85906
w_7694.jpg,82.023476,124.26183,85.48681,129.06589
w_1554.jpg,103.31837,119.396355,110.132866,116.8107
w_10096.jpg,147.67749,142.28722,152.24373,129.38824
w_6057.jpg,127.91982,139.29126,128.53366,153.84456
w_11087.jpg,117.27773,116.78134,121.0955,116.10874
w_3091.jpg,184.04802,137.73552,177.32758,141.72806
